Name,Cost,PR,Spr,WC,Vert,Effect
Geno Smith,2,0,0,2,0,"Playing to Competiton: +2 WC vs 5 star, -2 WC vs 1-2 star"
Aaron Rodgers,5,0,0,2,4,Player Coach: Add 3 whistles to the pool
Jared Goff,2,0,2,1,0,Nerves: -1 clutch
Kenny Pickett,1,0,0,1,0,
Baker Mayfield,1,0,0,0,1,
Mac Jones,1,0,1,0,0,
Patrick Mahomes,5,0,0,3,3,Magician: Reroll any die rolled once per game
Tua Tagavailoa,3,0,3,0,2,Injury Risk
Josh Allen,4,0,0,0,5,
Joe Burrow,4,0,3,0,1,"Composed: +1 Spr, Vert on the road"
Tom Brady,5,0,0,3,1,GOAT: Wins every game in clutch
Lamar Jackson,3,0,2,1,1,
Justin Herbert,3,0,0,1,3,Nerves: -1 clutch
Matthew Stafford,2,0,0,2,0,Slinger: +2 in shootout
Kirk Cousins,2,0,0,3,1,Nerves: -2 clutch in playoffs
Ryan Tannehill,1,0,0,1,1,"TO Machine: On a 1, lose"
Russell Wilson,2,0,1,0,4,Rattled: -1 Vert per loss
Derek Carr,1,0,0,0,1,
Adrian Peterson,4,4,2,0,0,Cursed: -2 IR -1 OR in playoffs
Christian McCaffrey,4,2,2,1,0,Versatile: +1 in any stat of choice (can move every year)
Derrick Henry,3,3,0,0,0,No gameplan: +2 IR vs run defenses
Nick Chubb,3,3,0,0,0,Wear em down: +2 clutch
Dalvin Cook,3,2,1,0,0,One man show: +2 Pow if only player on offense
Austin Ekeler,3,2,2,0,0,
Alvin Kamara,3,1,2,1,0,
Joe Mixon,2,2,0,0,0,
Aaron Jones,2,1,2,0,0,Injury risk
Josh Jacobs,2,2,0,0,0,
Ezekiel Elliot,2,1,1,0,0,
Kareem Hunt,1,0,1,0,0,
Cordarrelle Patterson,2,1,0,1,0,
Saquon Barkley ,2,2,0,0,0,
Miles Sanders,1,0,1,0,0,
James Robinson,1,1,0,0,0,
Dandre Swift,1,0,1,0,0,
Gus Edwards,1,1,0,0,0,
Calvin Johnson,4,0,0,2,4,Megatron: -1 SP -2 DP in playoffs
Cooper Kupp,3,0,0,2,1,Route runner: +2 SP vs all defenses but SP
Mark Andrews,3,0,1,2,0,RZ Threat: +2 clutch
Travis Kelce,3,0,0,3,1,
Tyreek Hill,3,0,3,1,0,
Justin Jefferson,3,0,0,2,2,
Stefon Diggs,3,0,0,0,4,QB Dependent: -2 DP without QB
Davante Adams,2,0,0,1,3,"QB Dependent: -1 SP, -2DP without QB"
George Kittle,2,0,1,1,0,
Jamarr Chase,2,0,2,0,0,
Mike Evans,2,0,0,2,0,
Deandre Hopkins,4,0,0,3,1,"QB Proof: +1 SP, DP without QB"
Devonta Smith,2,0,0,0,2,
Tyler Lockett,2,0,0,1,1,
Darren Waller,2,0,0,2,0,
Deebo Samuel,2,0,0,1,1,
DK Metcalf,1,0,0,0,1,
Amari Cooper,1,0,0,1,0,
Diontae Johnson,1,0,0,0,1,
Adam Thielen,1,0,0,1,0,
Keenan Allen,1,0,0,1,0,
Jaylen Waddle,1,0,0,0,1,
Trent Williams,3,2,2,0,0,
Zach Martin,3,4,-1,0,0,Bulldozer: +2 clutch
Joel Bitonio,2,0,2,0,0,
Tyron Smith,3,0,3,0,1,
Shaq Mason,3,4,0,0,0,
Creed Humphrey,3,0,3,1,0,
Jordan Mailata,3,1,3,0,0,
Wyatt Teller,2,2,0,0,0,
Ryan Ramczyk,2,0,1,0,1,
Trey Smith,2,0,1,1,0,
Laken Tomlinson,2,0,2,0,0,
Chris Lindstrom,2,3,0,0,-1,
Rashawn Slater,2,0,3,0,-1,
Jason Kelce,2,0,2,1,-1,
David Andrews,2,2,-1,0,1,
Corey Lindsey,2,1,-1,0,2,
Lane Johnson,1,0,1,0,0,
Lael Collins,1,1,0,0,0,
Braden Smith,1,1,0,0,0,
Gabe Jackson,1,1,-1,0,1,
Daniel Brunskill,1,0,1,1,-1,
Quenton Nelson,1,2,-1,0,0,
